ram,battery_power,storage,rear_camera_mp,front_camera_mp,screen_size,processor_speed,refresh_rate,has_5g,brand_level,price_category
2,4092,64,13,5,6.1,1.8,60,0,1,Budget Phone
4,3866,64,15,8,5.7,1.5,60,0,1,Budget Phone
12,5034,512,81,42,6.9,3.0,144,1,2,Flagship Phone
11,4616,128,66,27,6.5,3.0,120,0,2,Premium Phone
6,5180,128,64,15,6.3,2.5,60,0,1,Mid-Range Phone
4,3784,64,8,6,6.2,1.7,60,0,2,Budget Phone
8,4654,128,69,23,6.5,2.9,120,1,2,Premium Phone
11,5160,256,52,30,6.8,2.9,90,1,2,Premium Phone
10,5387,128,89,28,6.8,2.7,90,1,2,Premium Phone
4,3797,64,15,7,6.0,1.7,60,0,1,Budget Phone
8,5479,128,26,8,6.5,2.5,90,0,1,Mid-Range Phone
2,4260,64,16,5,5.9,1.8,60,0,1,Budget Phone
3,4219,32,10,6,5.8,1.6,60,0,2,Budget Phone
6,4556,64,32,13,6.4,2.5,60,1,2,Mid-Range Phone
8,4905,128,41,9,6.3,2.1,90,0,1,Mid-Range Phone
4,4946,128,23,8,6.5,2.4,90,1,1,Mid-Range Phone
4,4108,64,59,10,6.4,2.1,60,0,2,Mid-Range Phone
4,3395,32,8,7,5.9,1.9,60,0,1,Budget Phone
12,5786,512,102,44,6.5,3.4,144,1,3,Flagship Phone
4,3320,32,10,6,5.7,1.5,60,0,2,Budget Phone
6,5088,64,61,14,6.5,2.2,90,0,2,Mid-Range Phone
12,5067,256,72,35,6.8,3.4,120,1,2,Flagship Phone
16,5232,512,128,37,6.9,3.2,144,1,3,Flagship Phone
8,4656,256,95,22,6.5,3.1,120,1,3,Premium Phone
13,5002,256,96,57,6.9,3.5,144,1,3,Flagship Phone
9,4568,256,100,31,6.6,2.7,90,0,2,Premium Phone
9,5165,128,51,27,6.4,2.8,90,0,3,Premium Phone
9,4631,128,74,21,6.6,3.1,90,1,3,Premium Phone
10,4613,256,85,29,6.7,3.1,120,1,3,Premium Phone
3,4279,32,9,5,5.7,1.4,60,1,1,Budget Phone
10,5087,128,107,18,6.6,2.6,120,1,3,Premium Phone
9,5412,256,89,18,6.7,2.8,120,1,2,Premium Phone
5,4990,128,62,12,6.1,2.3,60,0,2,Mid-Range Phone
13,4831,512,88,47,7.0,3.1,144,1,3,Flagship Phone
15,4916,512,76,36,6.6,3.5,144,1,3,Flagship Phone
6,4925,64,59,9,6.3,2.2,90,0,1,Mid-Range Phone
2,3728,64,15,5,6.2,1.9,60,0,2,Budget Phone
13,5007,512,157,47,6.9,3.4,144,1,3,Flagship Phone
16,4837,256,153,50,6.7,3.6,144,1,3,Flagship Phone
7,5257,64,46,10,6.3,2.5,60,1,2,Mid-Range Phone
6,5076,64,36,12,6.1,2.6,60,0,1,Mid-Range Phone
4,3689,32,15,6,6.1,1.8,60,0,2,Budget Phone
4,5163,128,51,8,6.3,2.3,90,1,2,Mid-Range Phone
3,3498,32,9,5,6.2,1.9,60,0,2,Budget Phone
8,4545,256,96,18,6.7,3.1,90,1,2,Premium Phone
8,5127,64,39,11,6.2,2.2,90,0,2,Mid-Range Phone
11,4865,128,51,19,6.7,2.6,90,1,3,Premium Phone
4,4442,64,59,15,6.5,2.1,90,0,2,Mid-Range Phone
12,5174,256,85,58,6.6,3.3,144,1,3,Flagship Phone
13,5446,512,101,38,6.9,3.5,120,1,3,Flagship Phone
11,5496,128,106,27,6.7,2.8,90,0,3,Premium Phone
16,5922,256,88,49,6.5,3.3,120,1,3,Flagship Phone
14,5398,256,87,60,6.7,3.6,120,1,3,Flagship Phone
4,3825,32,10,7,6.2,1.5,60,0,1,Budget Phone
9,4903,256,82,25,6.6,2.7,120,1,2,Premium Phone
5,4197,64,19,9,6.0,2.1,60,1,1,Mid-Range Phone
3,4346,32,9,5,5.9,1.7,60,0,1,Budget Phone
2,3035,64,15,6,5.7,1.5,60,0,1,Budget Phone
4,5201,64,32,16,6.4,2.3,90,1,1,Mid-Range Phone
3,3452,32,10,6,6.1,1.9,60,0,1,Budget Phone
12,5428,128,52,24,6.4,3.1,120,1,2,Premium Phone
4,4324,64,35,14,6.4,2.3,90,1,1,Mid-Range Phone
4,4319,64,55,13,6.2,2.3,90,0,2,Mid-Range Phone
4,5372,128,62,13,6.1,2.3,90,0,2,Mid-Range Phone
2,4417,64,15,5,5.5,1.6,60,0,1,Budget Phone
3,4203,32,8,6,6.0,1.9,60,0,2,Budget Phone
4,4293,128,56,16,6.6,2.1,90,0,2,Mid-Range Phone
10,4643,256,91,21,6.4,2.7,120,1,2,Premium Phone
5,4136,128,60,13,6.3,2.5,90,0,2,Mid-Range Phone
6,4865,128,51,13,6.1,2.1,90,0,2,Mid-Range Phone
9,5367,128,97,26,6.8,2.9,120,1,2,Premium Phone
4,3154,32,12,6,5.9,1.7,60,0,1,Budget Phone
2,4199,64,8,7,5.8,1.6,60,0,1,Budget Phone
6,5469,64,49,10,6.3,2.0,90,1,2,Mid-Range Phone
3,4416,64,13,6,6.0,1.9,60,0,1,Budget Phone
4,5186,64,60,15,6.3,2.2,90,1,2,Mid-Range Phone
13,5372,256,171,39,6.7,3.3,144,1,3,Flagship Phone
10,5328,256,93,29,6.5,3.1,120,1,3,Premium Phone
16,5874,256,76,54,6.9,3.1,120,1,3,Flagship Phone
15,5400,512,135,38,6.8,3.0,144,1,3,Flagship Phone
12,5160,128,51,28,6.4,2.9,90,1,3,Premium Phone
4,4442,128,20,14,6.5,2.3,90,1,2,Mid-Range Phone
8,4259,128,16,8,6.1,2.4,60,1,2,Mid-Range Phone
12,4860,256,107,55,6.6,3.6,120,1,3,Flagship Phone
16,5647,256,170,48,7.0,3.0,144,1,3,Flagship Phone
7,5132,128,62,16,6.2,2.4,90,0,1,Mid-Range Phone
4,3550,32,15,6,5.9,1.7,60,0,2,Budget Phone
4,4541,64,54,14,6.4,2.4,90,0,1,Mid-Range Phone
6,4611,128,18,13,6.0,2.3,60,0,1,Mid-Range Phone
2,4300,64,8,7,5.9,1.7,60,0,1,Budget Phone
8,4362,64,28,8,6.1,2.2,90,1,2,Mid-Range Phone
10,5455,128,73,27,6.5,3.1,120,1,3,Premium Phone
5,4581,128,64,11,6.5,2.6,60,0,2,Mid-Range Phone
13,5300,256,78,54,6.5,3.4,120,1,3,Flagship Phone
12,5545,256,175,37,6.9,3.2,120,1,3,Flagship Phone
13,5776,512,103,53,6.6,3.3,144,1,2,Flagship Phone
4,4115,32,13,6,5.7,1.6,60,0,2,Budget Phone
4,5046,64,25,11,6.0,2.0,60,0,2,Mid-Range Phone
8,4596,128,84,26,6.6,3.2,120,0,3,Premium Phone
3,3980,64,13,5,5.7,1.5,60,0,1,Budget Phone
4,3396,32,11,7,5.8,1.5,60,0,1,Budget Phone
12,4856,512,85,47,6.5,3.1,144,1,2,Flagship Phone
4,3726,64,13,6,5.6,2.0,60,0,1,Budget Phone
3,3956,64,8,5,6.2,1.7,60,0,1,Budget Phone
4,3656,64,8,7,5.6,2.0,60,0,1,Budget Phone
14,5260,512,135,52,6.8,3.1,144,1,3,Flagship Phone
8,5237,64,57,15,6.2,2.3,60,0,1,Mid-Range Phone
4,3681,64,14,6,5.9,1.5,60,0,1,Budget Phone
11,4854,128,63,28,6.4,2.7,90,0,3,Premium Phone
4,4098,64,11,8,5.8,1.7,60,0,2,Budget Phone
12,4822,256,187,51,6.6,3.1,144,1,3,Flagship Phone
4,4218,32,8,7,5.6,1.4,60,0,2,Budget Phone
4,4125,128,20,9,6.2,2.5,60,0,2,Mid-Range Phone
8,5435,128,85,30,6.7,2.6,90,0,2,Premium Phone
8,4245,128,24,14,6.3,2.4,90,0,2,Mid-Range Phone
16,5581,256,124,51,6.6,3.3,144,1,3,Flagship Phone
4,4263,128,56,16,6.4,2.2,60,0,2,Mid-Range Phone
12,5487,512,81,40,6.5,3.6,144,1,2,Flagship Phone
2,4129,64,11,7,5.7,1.7,60,1,1,Budget Phone
7,4374,128,53,9,6.3,2.5,90,1,1,Mid-Range Phone
13,4880,256,150,50,6.7,3.1,144,1,3,Flagship Phone
6,5097,64,24,11,6.3,2.3,90,0,2,Mid-Range Phone
3,4458,32,16,5,6.1,1.8,60,0,1,Budget Phone
16,5565,256,160,49,6.5,3.2,120,1,3,Flagship Phone
14,5219,512,113,37,6.8,3.5,144,1,3,Flagship Phone
5,4632,128,63,9,6.2,2.0,90,0,1,Mid-Range Phone
14,5090,256,198,41,6.6,3.3,120,1,2,Flagship Phone
3,4415,32,14,7,6.0,1.8,60,0,2,Budget Phone
5,4208,64,44,13,6.5,2.1,60,1,1,Mid-Range Phone
8,5037,256,77,32,6.5,3.1,90,0,3,Premium Phone
4,4138,128,39,10,6.1,2.4,60,1,2,Mid-Range Phone
6,4796,64,53,12,6.5,2.1,90,1,1,Mid-Range Phone
10,4675,128,52,19,6.6,2.9,120,1,3,Premium Phone
11,4633,128,67,22,6.8,2.8,120,1,3,Premium Phone
4,3675,32,14,5,5.6,1.8,60,0,1,Budget Phone
11,5398,256,52,30,6.7,2.6,90,1,2,Premium Phone
11,4570,128,63,21,6.4,3.0,120,1,2,Premium Phone
14,5584,256,193,33,7.0,3.2,120,1,2,Flagship Phone
12,4922,256,96,54,6.9,3.3,144,1,2,Flagship Phone
4,5256,64,51,16,6.3,2.1,90,1,2,Mid-Range Phone
12,4907,128,97,25,6.7,3.0,120,0,2,Premium Phone
11,4593,256,104,24,6.8,2.9,90,1,2,Premium Phone
12,5368,512,167,46,6.9,3.5,144,1,3,Flagship Phone
13,5041,256,139,53,6.5,3.5,120,1,3,Flagship Phone
4,4286,128,27,10,6.3,2.6,90,1,2,Mid-Range Phone
5,5304,64,23,8,6.3,2.4,60,1,1,Mid-Range Phone
12,4923,256,117,47,6.9,3.0,144,1,3,Flagship Phone
4,4191,32,16,5,5.5,1.4,60,0,1,Budget Phone
15,5056,512,109,59,7.0,3.4,144,1,3,Flagship Phone
4,4039,32,15,6,6.0,1.6,60,0,1,Budget Phone
3,4409,32,16,5,6.1,1.8,60,0,1,Budget Phone
2,4081,64,8,7,6.1,1.4,60,0,2,Budget Phone
4,4140,128,51,10,6.6,2.2,60,1,2,Mid-Range Phone
10,4665,256,101,17,6.7,3.1,90,1,3,Premium Phone
6,4910,128,41,8,6.3,2.1,90,1,2,Mid-Range Phone
3,3991,32,13,8,6.0,1.9,60,0,2,Budget Phone
8,4591,256,78,23,6.5,2.9,90,1,3,Premium Phone
6,5125,128,29,9,6.2,2.5,90,0,1,Mid-Range Phone
13,5631,256,112,59,6.8,3.4,144,1,2,Flagship Phone
4,4449,128,19,11,6.3,2.6,90,1,2,Mid-Range Phone
12,4956,128,98,22,6.4,2.7,120,1,3,Premium Phone
6,5381,64,18,9,6.2,2.1,90,0,2,Mid-Range Phone
8,5324,256,72,20,6.5,3.0,120,1,2,Premium Phone
6,4898,64,45,13,6.2,2.1,90,0,2,Mid-Range Phone
6,5140,64,60,16,6.3,2.2,60,1,2,Mid-Range Phone
4,4186,64,10,5,5.5,1.7,60,0,1,Budget Phone
4,5408,128,37,9,6.3,2.2,90,1,2,Mid-Range Phone
13,5704,512,115,60,6.6,3.2,144,1,3,Flagship Phone
8,5151,64,62,10,6.2,2.4,60,1,2,Mid-Range Phone
10,5228,256,96,28,6.5,3.1,120,1,2,Premium Phone
8,4513,256,73,19,6.7,2.7,120,1,3,Premium Phone
4,3789,32,8,7,6.1,1.8,60,0,1,Budget Phone
6,4276,64,36,10,6.5,2.5,60,0,2,Mid-Range Phone
2,3263,64,13,8,5.7,1.8,60,0,1,Budget Phone
14,5158,256,175,46,6.8,3.5,120,1,2,Flagship Phone
8,5336,128,36,12,6.0,2.1,60,1,1,Mid-Range Phone
2,3407,32,9,7,5.8,1.8,60,1,1,Budget Phone
15,5795,256,134,60,6.9,3.5,120,1,3,Flagship Phone
4,4308,32,8,5,6.0,2.0,60,0,1,Budget Phone
15,5260,512,68,34,6.6,3.2,144,1,3,Flagship Phone
16,5367,256,173,55,7.0,3.5,144,1,3,Flagship Phone
4,3412,64,11,6,5.9,1.6,60,0,1,Budget Phone
2,3565,64,10,7,5.9,1.8,60,0,1,Budget Phone
2,3773,32,8,8,5.6,1.7,60,0,2,Budget Phone
7,5457,128,44,15,6.2,2.5,90,0,1,Mid-Range Phone
13,4806,512,154,44,6.6,3.3,120,1,3,Flagship Phone
5,4785,64,33,13,6.6,2.4,90,0,2,Mid-Range Phone
13,4859,512,99,43,6.5,3.3,120,1,3,Flagship Phone
7,5089,64,22,12,6.1,2.0,90,0,1,Mid-Range Phone
8,5126,256,75,29,6.7,2.6,90,1,2,Premium Phone
12,5400,512,145,35,7.0,3.1,144,1,2,Flagship Phone
7,4044,128,21,14,6.0,2.2,60,0,2,Mid-Range Phone
6,5092,128,58,10,6.5,2.5,60,0,1,Mid-Range Phone
16,5698,512,161,54,6.7,3.4,120,1,3,Flagship Phone
3,3487,64,12,7,5.8,1.5,60,0,1,Budget Phone
4,4300,32,11,7,6.1,1.4,60,0,2,Budget Phone
5,4903,128,38,14,6.2,2.2,90,0,1,Mid-Range Phone
2,3473,64,16,6,5.9,1.6,60,0,1,Budget Phone
12,5135,512,95,50,7.0,3.3,144,1,3,Flagship Phone
3,3703,32,13,7,5.9,1.7,60,0,1,Budget Phone
12,4845,256,101,40,6.5,3.1,144,1,3,Flagship Phone
3,3860,64,12,7,6.0,1.9,60,0,1,Budget Phone
6,4973,128,52,15,6.1,2.1,60,1,2,Mid-Range Phone
15,5825,256,163,34,6.6,3.6,144,1,3,Flagship Phone
9,4573,128,62,18,6.5,2.6,120,1,2,Premium Phone
4,5378,64,60,8,6.6,2.1,60,0,2,Mid-Range Phone
3,3625,64,10,7,5.5,1.6,60,0,1,Budget Phone
12,5315,256,158,32,7.0,3.2,120,1,3,Flagship Phone
6,5475,128,32,13,6.6,2.0,90,0,2,Mid-Range Phone
2,4276,32,13,5,5.7,1.8,60,0,1,Budget Phone
3,3335,32,14,7,5.7,1.6,60,0,2,Budget Phone
15,5624,256,113,55,6.6,3.0,144,1,2,Flagship Phone
2,3876,32,15,6,5.8,1.9,60,0,1,Budget Phone
13,5406,256,122,49,6.8,3.2,120,1,3,Flagship Phone
12,4667,128,102,22,6.7,2.9,120,1,3,Premium Phone
15,4805,256,135,37,7.0,3.4,120,1,2,Flagship Phone
2,4008,64,16,7,5.5,1.8,60,0,1,Budget Phone
4,4195,64,13,8,6.1,1.8,60,0,1,Budget Phone
2,3853,32,12,5,5.8,2.0,60,0,1,Budget Phone
9,4935,128,67,20,6.8,2.8,90,1,3,Premium Phone
6,5264,128,38,14,6.1,2.5,90,0,2,Mid-Range Phone
10,5235,128,77,20,6.5,2.7,120,0,3,Premium Phone
15,5781,256,183,37,6.5,3.3,120,1,3,Flagship Phone
16,5015,256,139,56,6.9,3.3,144,1,3,Flagship Phone
7,5288,128,39,15,6.0,2.5,60,0,2,Mid-Range Phone
6,5315,128,42,11,6.6,2.4,60,1,1,Mid-Range Phone
2,3437,32,14,8,6.2,1.8,60,0,1,Budget Phone
12,4625,256,59,20,6.5,2.6,120,1,3,Premium Phone
10,5220,128,60,27,6.4,3.2,120,1,2,Premium Phone
10,4572,128,79,17,6.7,3.0,90,0,3,Premium Phone
12,5258,256,73,54,6.7,3.2,144,1,3,Flagship Phone
4,4138,128,52,14,6.6,2.5,60,0,1,Mid-Range Phone
8,4833,128,84,32,6.6,2.7,90,0,2,Premium Phone
13,5715,256,82,47,7.0,3.4,120,1,3,Flagship Phone
8,4163,128,18,12,6.1,2.2,60,1,1,Mid-Range Phone
5,5309,128,57,11,6.5,2.4,60,0,2,Mid-Range Phone
3,4122,64,11,6,6.2,1.5,60,1,1,Budget Phone
8,4875,256,93,24,6.7,2.9,90,1,2,Premium Phone
14,5888,256,180,41,6.7,3.5,144,1,3,Flagship Phone
7,4021,128,22,13,6.4,2.0,90,1,1,Mid-Range Phone
6,4557,64,44,15,6.4,2.1,60,1,1,Mid-Range Phone
8,5085,128,62,21,6.5,2.7,90,1,2,Premium Phone
4,3153,64,15,5,6.0,1.7,60,0,1,Budget Phone
3,4045,64,9,8,5.7,1.7,60,0,2,Budget Phone
16,5126,256,92,34,6.9,3.4,120,1,3,Flagship Phone
12,4688,256,102,25,6.5,2.6,120,1,2,Premium Phone
7,4623,64,33,16,6.1,2.1,90,0,1,Mid-Range Phone
2,3252,64,15,6,6.0,1.8,60,0,2,Budget Phone
2,3278,64,13,7,5.6,1.9,60,0,1,Budget Phone
13,4871,512,84,60,6.7,3.1,144,1,2,Flagship Phone
2,3595,32,8,5,5.6,1.9,60,0,1,Budget Phone
9,4660,128,66,20,6.7,3.2,90,1,2,Premium Phone
6,4434,64,43,14,6.3,2.5,60,0,2,Mid-Range Phone
8,5095,128,68,29,6.7,2.6,120,1,3,Premium Phone
15,5359,256,123,60,6.8,3.4,120,1,3,Flagship Phone
8,5229,256,81,17,6.5,2.8,120,1,3,Premium Phone
9,4851,256,59,25,6.6,3.1,120,1,2,Premium Phone
8,4699,256,105,17,6.8,2.6,120,0,2,Premium Phone
4,5011,64,63,11,6.4,2.0,60,1,1,Mid-Range Phone
12,4704,128,48,26,6.6,2.8,90,1,3,Premium Phone
12,4838,128,66,17,6.7,2.7,120,0,2,Premium Phone
8,5326,128,30,10,6.1,2.1,90,1,2,Mid-Range Phone
4,5207,64,47,10,6.0,2.0,60,0,2,Mid-Range Phone
8,5026,128,52,24,6.7,2.8,90,1,3,Premium Phone
13,5912,512,145,56,6.9,3.2,120,1,3,Flagship Phone
15,5685,256,191,34,6.9,3.2,144,1,3,Flagship Phone
8,4786,64,17,16,6.0,2.2,90,1,2,Mid-Range Phone
6,4398,128,44,10,6.4,2.3,90,1,2,Mid-Range Phone
3,4311,32,10,7,6.1,2.0,60,0,1,Budget Phone
16,5711,256,103,44,6.8,3.2,144,1,3,Flagship Phone
12,5280,256,102,31,6.7,3.1,120,1,3,Premium Phone
4,4935,128,54,16,6.3,2.0,60,1,2,Mid-Range Phone
12,5349,256,68,37,6.6,3.4,120,1,3,Flagship Phone
12,5066,128,62,20,6.7,3.2,90,1,3,Premium Phone
2,3313,64,11,7,6.2,2.0,60,0,1,Budget Phone
7,5488,128,16,16,6.4,2.3,90,1,1,Mid-Range Phone
11,5346,256,107,16,6.7,3.2,120,1,3,Premium Phone
9,5293,256,62,16,6.6,2.9,120,0,3,Premium Phone
2,3920,32,16,7,5.8,1.8,60,0,1,Budget Phone
16,4846,512,162,33,6.7,3.1,120,1,3,Flagship Phone
5,4357,64,55,13,6.4,2.1,90,1,1,Mid-Range Phone
11,5245,256,107,24,6.4,3.0,120,1,3,Premium Phone
14,5349,256,101,39,6.7,3.3,120,1,3,Flagship Phone
12,5004,512,110,42,6.8,3.4,120,1,2,Flagship Phone
4,3639,32,11,8,5.8,1.7,60,0,1,Budget Phone
4,5017,64,22,13,6.2,2.2,90,0,2,Mid-Range Phone
12,4932,256,64,25,6.7,3.0,90,1,3,Premium Phone
4,5228,128,40,14,6.5,2.1,90,1,2,Mid-Range Phone
4,4243,32,12,6,5.6,1.7,60,1,2,Budget Phone
2,4295,64,16,7,5.7,1.5,60,0,1,Budget Phone
7,4498,128,19,13,6.5,2.4,60,1,2,Mid-Range Phone
7,4817,64,21,14,6.3,2.1,60,1,1,Mid-Range Phone
4,3095,32,15,6,6.0,1.5,60,0,1,Budget Phone
8,5129,128,50,28,6.5,2.6,120,1,3,Premium Phone
4,4510,128,56,10,6.3,2.1,90,0,1,Mid-Range Phone
10,4512,256,100,32,6.7,3.1,120,0,3,Premium Phone
8,5037,64,37,14,6.5,2.2,90,1,1,Mid-Range Phone
15,5178,512,70,46,6.7,3.5,120,1,3,Flagship Phone
10,4531,128,82,30,6.7,2.8,90,1,3,Premium Phone
8,4698,128,51,22,6.5,2.7,120,1,2,Premium Phone
13,5442,256,103,54,6.6,3.5,120,1,3,Flagship Phone
15,5890,512,64,56,6.5,3.0,144,1,3,Flagship Phone
15,5871,512,146,39,6.7,3.4,120,1,2,Flagship Phone
12,4855,256,195,51,6.6,3.5,144,1,3,Flagship Phone
2,3760,64,15,6,5.7,1.8,60,0,1,Budget Phone
5,5007,128,44,9,6.5,2.0,60,1,2,Mid-Range Phone
2,3954,32,11,7,6.1,1.4,60,0,2,Budget Phone
13,5724,256,71,40,6.9,3.1,144,1,3,Flagship Phone
6,5110,128,52,9,6.4,2.6,60,1,1,Mid-Range Phone
9,5047,256,52,19,6.7,2.9,120,1,2,Premium Phone
12,5233,256,64,55,6.6,3.3,144,1,3,Flagship Phone
12,5286,256,102,30,6.5,2.7,120,1,3,Premium Phone
3,3379,32,11,7,6.2,1.8,60,0,1,Budget Phone
2,4109,64,10,8,6.0,1.7,60,0,2,Budget Phone
2,3399,32,12,5,5.5,1.7,60,0,1,Budget Phone
5,4732,128,42,14,6.0,2.6,90,0,1,Mid-Range Phone
3,4388,32,10,6,6.1,1.5,60,0,1,Budget Phone
4,4299,64,35,16,6.3,2.3,90,1,1,Mid-Range Phone
12,5453,256,81,17,6.5,3.1,120,0,3,Premium Phone
12,4911,256,133,51,6.8,3.3,120,1,3,Flagship Phone
13,4862,256,128,57,6.7,3.1,144,1,3,Flagship Phone
9,4718,256,60,16,6.8,2.7,120,1,3,Premium Phone
12,5087,256,156,60,6.7,3.2,144,1,2,Flagship Phone
5,4304,64,31,11,6.5,2.0,60,0,2,Mid-Range Phone
5,4880,64,49,9,6.3,2.6,90,1,2,Mid-Range Phone
16,5342,512,79,40,6.7,3.3,144,1,3,Flagship Phone
4,3895,64,13,6,5.9,1.6,60,0,2,Budget Phone
3,3801,64,14,5,5.6,1.9,60,0,1,Budget Phone
16,5507,256,64,57,6.9,3.5,120,1,3,Flagship Phone
13,5698,256,174,39,6.9,3.0,120,1,3,Flagship Phone
4,3902,32,9,6,5.6,1.9,60,1,1,Budget Phone
13,5569,512,81,43,6.9,3.3,144,1,3,Flagship Phone
3,3017,64,14,8,5.7,1.9,60,0,2,Budget Phone
10,4821,256,99,22,6.7,2.9,90,1,2,Premium Phone
2,3176,32,16,5,5.5,1.9,60,0,1,Budget Phone
12,5011,128,84,21,6.7,2.9,90,1,3,Premium Phone
3,4062,64,11,8,5.9,1.8,60,0,2,Budget Phone
7,4146,128,44,8,6.2,2.1,90,1,2,Mid-Range Phone
8,5330,256,104,22,6.7,2.9,120,1,3,Premium Phone
4,3790,64,8,5,5.8,2.0,60,1,2,Budget Phone
3,3853,32,16,6,5.5,1.4,60,0,1,Budget Phone
12,5289,512,137,46,6.5,3.1,144,1,3,Flagship Phone
7,4888,64,32,14,6.2,2.4,60,0,1,Mid-Range Phone
8,4682,128,22,8,6.1,2.4,90,1,1,Mid-Range Phone
9,4600,128,62,29,6.7,2.6,90,1,3,Premium Phone
3,4011,32,12,6,5.7,1.5,60,0,2,Budget Phone
3,4392,64,16,5,5.9,1.7,60,0,2,Budget Phone
3,3753,32,12,5,5.8,1.9,60,0,1,Budget Phone
5,5283,64,49,14,6.2,2.6,60,0,1,Mid-Range Phone
16,5764,256,170,41,6.9,3.1,144,1,3,Flagship Phone
7,5489,64,39,16,6.4,2.4,90,0,1,Mid-Range Phone
4,3304,32,16,8,6.0,1.4,60,0,1,Budget Phone
9,5082,128,76,32,6.5,3.0,90,1,2,Premium Phone
15,5993,512,186,58,6.9,3.6,120,1,3,Flagship Phone
12,4581,256,48,22,6.7,3.1,90,1,3,Premium Phone
4,4507,64,62,13,6.6,2.4,90,0,1,Mid-Range Phone
9,5108,128,73,17,6.7,2.7,90,1,3,Premium Phone
9,5192,256,87,24,6.4,2.8,120,1,3,Premium Phone
12,5124,256,194,32,6.8,3.0,120,1,2,Flagship Phone
8,4958,128,91,31,6.7,2.6,120,1,3,Premium Phone
4,4076,32,9,7,5.5,1.5,60,1,1,Budget Phone
2,4365,32,14,5,6.2,1.5,60,0,2,Budget Phone
6,4647,128,16,15,6.3,2.2,90,1,2,Mid-Range Phone
10,4651,128,97,29,6.7,3.1,120,1,3,Premium Phone
13,4938,512,129,56,6.9,3.5,120,1,2,Flagship Phone
2,3699,32,15,8,5.9,1.8,60,0,1,Budget Phone
12,4526,256,79,29,6.4,2.9,120,1,2,Premium Phone
9,4630,256,95,17,6.5,2.7,90,1,3,Premium Phone
12,5807,256,65,38,6.6,3.1,144,1,2,Flagship Phone
10,4725,256,100,23,6.4,2.7,120,1,3,Premium Phone
14,5867,256,188,42,6.6,3.4,144,1,3,Flagship Phone
14,5670,256,96,49,6.9,3.5,144,1,2,Flagship Phone
4,4377,64,12,7,6.2,1.8,60,0,2,Budget Phone
11,5180,128,84,21,6.5,3.0,120,0,3,Premium Phone
7,4508,128,57,10,6.0,2.3,60,1,1,Mid-Range Phone
3,3662,64,12,8,6.0,1.7,60,0,1,Budget Phone
10,4589,256,78,19,6.7,2.7,120,1,2,Premium Phone
3,4396,32,16,5,6.0,1.5,60,0,1,Budget Phone
4,5439,64,51,12,6.0,2.1,90,1,1,Mid-Range Phone
12,5030,128,51,28,6.6,2.9,120,1,3,Premium Phone
3,3340,32,9,7,5.7,1.9,60,0,1,Budget Phone
4,3470,32,9,8,5.8,1.7,60,0,1,Budget Phone
2,3397,32,13,6,5.8,1.5,60,0,1,Budget Phone
11,5347,256,54,16,6.5,2.9,120,1,3,Premium Phone
14,5332,512,69,55,6.7,3.5,144,1,2,Flagship Phone
3,3496,32,13,5,6.1,1.5,60,0,1,Budget Phone
4,3738,64,15,6,5.8,1.8,60,0,1,Budget Phone
15,5272,256,81,55,6.6,3.2,144,1,3,Flagship Phone
8,4479,64,60,16,6.5,2.1,60,0,2,Mid-Range Phone
13,5425,256,183,60,6.7,3.0,120,1,3,Flagship Phone
11,4932,256,94,32,6.7,2.7,90,1,3,Premium Phone
8,5074,128,83,22,6.5,2.7,120,1,3,Premium Phone
12,4770,256,80,27,6.5,3.1,120,1,2,Premium Phone
5,5367,64,58,11,6.2,2.6,60,0,1,Mid-Range Phone
6,4673,64,17,15,6.1,2.3,60,0,1,Mid-Range Phone
9,5109,128,88,28,6.5,3.0,120,1,2,Premium Phone
7,4261,64,43,12,6.3,2.4,60,1,1,Mid-Range Phone
2,4369,64,13,6,6.1,1.5,60,0,1,Budget Phone
4,3992,32,15,5,6.0,1.8,60,1,1,Budget Phone
14,4938,512,71,48,6.8,3.1,144,1,2,Flagship Phone
7,5366,128,24,16,6.1,2.0,60,1,2,Mid-Range Phone
12,4946,256,98,24,6.5,2.9,120,1,3,Premium Phone
10,4573,256,80,19,6.4,2.8,90,1,3,Premium Phone
3,3279,64,16,5,6.2,2.0,60,0,2,Budget Phone
9,4836,256,108,30,6.7,3.0,120,0,3,Premium Phone
9,4548,256,62,24,6.6,3.2,120,1,2,Premium Phone
8,4941,64,58,15,6.2,2.5,60,1,2,Mid-Range Phone
12,4933,256,119,35,6.6,3.2,120,1,3,Flagship Phone
3,3369,64,11,5,5.6,1.4,60,0,1,Budget Phone
8,4000,128,30,16,6.4,2.3,60,0,2,Mid-Range Phone
9,4509,256,87,32,6.4,3.0,120,1,2,Premium Phone
8,4665,64,35,14,6.2,2.2,90,0,1,Mid-Range Phone
16,5640,256,94,54,6.5,3.2,144,1,3,Flagship Phone
14,5846,256,154,35,6.6,3.5,120,1,3,Flagship Phone
6,4124,64,63,16,6.6,2.0,90,0,1,Mid-Range Phone
3,3749,32,13,5,5.9,1.8,60,0,1,Budget Phone
9,4941,128,105,25,6.7,3.1,120,1,2,Premium Phone
3,3815,32,9,5,5.8,1.9,60,0,1,Budget Phone
8,4941,256,78,24,6.5,2.9,120,1,3,Premium Phone
7,5211,128,37,13,6.4,2.2,60,1,1,Mid-Range Phone
10,4986,256,101,27,6.6,3.2,90,1,3,Premium Phone
